Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"5x5",2.2065187640505767e-5,2.20435886833027e-5,2.2094124591754494e-5,9.396076983132246e-8,6.895223204182249e-8,1.4827524045573368e-7
"10x10",3.8941534551431974e-4,3.818484012689504e-4,4.015188569554582e-4,3.595115714987009e-5,2.5911100178831484e-5,4.9414288659018304e-5
"15x15",4.353182838910017e-3,4.347877230796408e-3,4.363560404929709e-3,2.6028798857954036e-5,1.7000726585551e-5,4.495405034859901e-5
"20x20",0.15764974989459865,0.15718217291400782,0.15809994139240138,1.6361664640686627e-3,1.4392041276408887e-3,1.7529903547298228e-3
