Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"5x5",1.0123646142982192e-5,1.0118465747059575e-5,1.0129039495305556e-5,1.9092503424572563e-8,1.6998853289174214e-8,2.3059223863654354e-8
"10x10",2.0282066325709287e-4,2.0269769428994848e-4,2.029444575193186e-4,4.7040760805615595e-7,4.0012420066801285e-7,5.736545707413892e-7
"15x15",5.912003397638515e-3,5.906908392603114e-3,5.925190329248623e-3,2.681157161052488e-5,1.3708350273629004e-5,5.087339639960906e-5
"20x20",0.25091502165733764,0.2508909270757337,0.25093939757286493,9.14996182480848e-5,7.525676913494562e-5,1.1729857879992746e-4
